coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Jul 27 21:10:27 +0000 2020,,,,0,1287857907480973312,,,,en,,,3621,1287755461509423106,SenKamalaHarris,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SenKamalaHarris: It comes down to this in my latest op-ed: America is desperate for competent and honest leadership to get us through t…,https://twitter.com/WhiteHouseWacko/status/1287857907480973312,Tue Jan 31 04:17:17 +0000 2017,WhiteHouseWacko,false,"#TeamPelosi #Resist #RESISTANCE Blocked by D.Loesch, T. Fitton, D. Bongino, S. Baio, K. Alley, C. Woolery, M. Tracey & R. Moore. #TrumpResign",62765,4253,4998,1,"Los Angeles, Ca",I Won't Back Down To Trumpism,WhiteHouseWacko,138702,,,false
,Tue Jul 28 15:17:03 +0000 2020,,https://twitter.com/Women4Biden/status/1288131361803567104/photo/1,,35,1288131361803567104,,,,en,,false,12,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Thursday at 7pm ET! Join Biden for President for the launch of Moms for Biden hosted by @DrBiden and moms from across the country. https://t.co/NNZr892sdq,https://twitter.com/Women4Biden/status/1288131361803567104,Thu Apr 23 00:40:27 +0000 2020,Women4Biden,false,"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",17168,74844,2608,236,The White House,WomenForBidenHarris,Women4Biden,14529,,,false
,Mon Jul 13 18:59:42 +0000 2020,,,,0,1282751573882400770,,,,en,,,87,1282737412255485952,BettyBowers,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BettyBowers: @CaslerNoel @realDonaldTrump For an idea of how creepy Donald J. Trump's ""modeling"" agency was, this is real: https://t.co…",https://twitter.com/WhiteHouseWacko/status/1282751573882400770,Tue Jan 31 04:17:17 +0000 2017,WhiteHouseWacko,false,"#TeamPelosi #Resist #RESISTANCE Blocked by D.Loesch, T. Fitton, D. Bongino, S. Baio, K. Alley, C. Woolery, M. Tracey & R. Moore. #TrumpResign",62765,4253,4998,1,"Los Angeles, Ca",I Won't Back Down To Trumpism,WhiteHouseWacko,138702,,,false
,Sat Aug 08 13:02:44 +0000 2020,,,,1,1292083827922202625,thehill,1291928366958837800,1917731,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@thehill @realDonaldTrump How much will Russia demand to sell our country to China?,https://twitter.com/WhiteHouseWacko/status/1292083827922202625,Tue Jan 31 04:17:17 +0000 2017,WhiteHouseWacko,false,"#TeamPelosi #Resist #RESISTANCE Blocked by D.Loesch, T. Fitton, D. Bongino, S. Baio, K. Alley, C. Woolery, M. Tracey & R. Moore. #TrumpResign",62765,4253,4998,1,"Los Angeles, Ca",I Won't Back Down To Trumpism,WhiteHouseWacko,138702,,,false
,Tue Jul 28 13:15:57 +0000 2020,,,,0,1288100885781000195,,,,en,,,67,1288095425468280832,pilitobar87,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @pilitobar87: .@SymoneDSanders on Biden’s Women Agenda: “@JoeBiden always says, ‘Show me your budget, &amp; I'll show you what your prioriti…",https://twitter.com/Women4Biden/status/1288100885781000195,Thu Apr 23 00:40:27 +0000 2020,Women4Biden,false,"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",17168,74844,2608,236,The White House,WomenForBidenHarris,Women4Biden,14529,,,false
,Sat Jul 11 16:36:57 +0000 2020,,,https://www.nbcnews.com/politics/2020-election/concern-over-turnout-was-factor-postponing-trump-rally-gop-advisers-n1233540,1,1281990876831637505,,,,en,,false,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ICYMI-Concern over turnout was factor in postponing Trump rally, GOP advisers say https://t.co/NPxeYakoRG",https://twitter.com/Women4Biden/status/1281990876831637505,Thu Apr 23 00:40:27 +0000 2020,Women4Biden,false,"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",17168,74844,2608,236,The White House,WomenForBidenHarris,Women4Biden,14529,,,false
,Sat Aug 08 11:00:52 +0000 2020,SaturdayThoughts Biden2020 Biden VoteBiden2020,https://twitter.com/HSForBiden2020/status/1291952826046914562/photo/1,,0,1292053155274948608,,,,en,,false,29,1291952826046914562,HSForBiden2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @HSForBiden2020: Join us for this exciting discussion! #SaturdayThoughts #Biden2020 #Biden #VoteBiden2020 https://t.co/bQKwARpuDG,https://twitter.com/Women4Biden/status/1292053155274948608,Thu Apr 23 00:40:27 +0000 2020,Women4Biden,false,"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",17168,74844,2608,236,The White House,WomenForBidenHarris,Women4Biden,14529,,,false
,Thu Jul 23 20:27:23 +0000 2020,,,https://www.motherjones.com/politics/2020/07/stephen-millers-grandmother-died-of-covid-19-her-son-blames-the-trump-administration/,2694,1286397518641864706,,,,und,,false,878,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wow  https://t.co/McXjN2P4vC,https://twitter.com/MollyJongFast/status/1286397518641864706,Fri Apr 04 01:41:30 +0000 2008,MollyJongFast,false,Editor at large @thedailybeast. podcasting “The New Abnormal” & Wife of @Mattgreenfield & mother of @woketeenageson,825373,786024,5889,4434,,Molly Jong-Fast🏡,MollyJongFast,218877,,https://www.instagram.com/mollyjongfast/?hl=en,true
,Sat Aug 08 13:00:00 +0000 2020,,,https://www.mobilize.us/joebiden/event/295042/,118,1292083136998735872,,,,en,,false,38,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Today at 3pm! Chinese Americans for Biden is hosting 88 DAYS OUT to count down to election day and pay tribute to fathers on Chinese Father's Day. Hear from renowned community leaders on why this election is so important to Chinese Americans.
https://t.co/EZ2Gb2CwsZ",https://twitter.com/Women4Biden/status/1292083136998735872,Thu Apr 23 00:40:27 +0000 2020,Women4Biden,false,"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",17168,74844,2608,236,The White House,WomenForBidenHarris,Women4Biden,14529,,,false
,Thu Aug 06 04:35:42 +0000 2020,,,,1,1291231451636064257,Mike_Pence,1291103786417758200,22203756,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Mike_Pence How the fuck can someone whose negligence led to the deaths of at least 100,000 people claim to be pro-life?",https://twitter.com/WhiteHouseWacko/status/1291231451636064257,Tue Jan 31 04:17:17 +0000 2017,WhiteHouseWacko,false,"#TeamPelosi #Resist #RESISTANCE Blocked by D.Loesch, T. Fitton, D. Bongino, S. Baio, K. Alley, C. Woolery, M. Tracey & R. Moore. #TrumpResign",62765,4253,4998,1,"Los Angeles, Ca",I Won't Back Down To Trumpism,WhiteHouseWacko,138702,,,false
