coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Jul 20 23:53:42 +0000 2020,AmericaFirst,,https://tucson.com/opinion/az-treasurer-kimberly-yee-why-i-support-president-trump-and-his-vision-of-the-american/article_627d8460-3484-5c58-a6e0-4bbabed97275.html,622,1285362275461656576,,,,en,,false,208,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ICYMI Arizona State Treasurer @KimberlyYeeAZ wrote an OP-ED highlighting why she supports President @realDonaldTrump and his #AmericaFirst agenda ⤵️ https://t.co/Ccqx0YUQ5j,https://twitter.com/AZGOP/status/1285362275461656576,Thu Aug 21 21:30:45 +0000 2008,AZGOP,false,The official Twitter account of the Republican Party of Arizona.,16620,58761,2302,498,"Phoenix, AZ",Arizona Republican Party,AZGOP,20397,,http://www.azgop.com/,true
,Wed Jul 08 20:03:33 +0000 2020,,,,1280,1280955701985251330,,,,en,,,433,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Today, President @realDonaldTrump is welcoming the President of Mexico to the White House to celebrate the historic USMCA trade deal.
 
Meanwhile, Joe Biden has supported failed trade deals like the TPP and NAFTA that have put the interests of other countries first.",https://twitter.com/GOP/status/1280955701985251330,Thu Dec 13 17:15:41 +0000 2007,GOP,false,Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,264,2718259,1649,11226,,GOP,GOP,44499,,https://goo.gl/xqho9k,true
,Wed Jul 22 20:15:26 +0000 2020,,https://twitter.com/GOP/status/1286032123204337665/video/1,,822,1286032123204337665,,,,en,,false,250,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","“We will work every single day to restore public safety, protect our nation’s children, and bring violent perpetuators to justice.” -@realDonaldTrump https://t.co/9ZtRibANQS",https://twitter.com/GOP/status/1286032123204337665,Thu Dec 13 17:15:41 +0000 2007,GOP,false,Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,264,2718259,1649,11226,,GOP,GOP,44499,,https://goo.gl/xqho9k,true
,Tue Jul 21 22:05:41 +0000 2020,,,https://thedcpatriot.com/%e2%80%8bcheck-mate-missouri-governor-prepared-to-pardon-st-louis-couple/,37,1285697484048797696,WhiteHouse,1285683734776176600,822215673812119600,und,,false,13,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@WhiteHouse @realDonaldTrump https://t.co/iBh3kyrgKW,https://twitter.com/RealMattCouch/status/1285697484048797696,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",320983,481335,111542,200,"NW Arkansas, USA",Matt Couch,RealMattCouch,319825,,http://www.TheDCPatriot.com,false
,Tue Jul 21 22:06:03 +0000 2020,,,https://thedcpatriot.com/%e2%80%8bcheck-mate-missouri-governor-prepared-to-pardon-st-louis-couple/,63,1285697574410883078,realDonaldTrump,1285524871666118700,25073877,und,,false,20,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@realDonaldTrump https://t.co/iBh3kyrgKW,https://twitter.com/RealMattCouch/status/1285697574410883078,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",320983,481335,111542,200,"NW Arkansas, USA",Matt Couch,RealMattCouch,319825,,http://www.TheDCPatriot.com,false
,Sun Jul 12 16:48:24 +0000 2020,,,https://twitter.com/jonathanvswan/status/1282321875478224899,566,1282356143621365760,,,,en,,false,261,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Joe Biden shipped millions of jobs to China and pallets of cash to Iran. https://t.co/U4FPOBDxGP,https://twitter.com/JasonMillerinDC/status/1282356143621365760,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Sat Jul 11 12:34:48 +0000 2020,,,https://www.newsbusters.org/blogs/nb/tim-graham/2020/07/10/cnn-insists-trump-casting-biden-radical-leftist-tough-sell,273,1281929936891240448,,,,en,,false,193,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The Joe Biden-Bernie Sanders ""Unity Platform"" pushes tax hikes, Green New Deal, universal health care, ending cash bail, abolishing death penalty, ending school choice, ending national security travel ban, taxpayer funded gender reassignment surgeries...

https://t.co/zVGeJ6vbIg",https://twitter.com/JasonMillerinDC/status/1281929936891240448,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Sat Jul 04 23:20:43 +0000 2020,IndependenceDay 4thOfJuly,,https://twitter.com/i/broadcasts/1nAKEAlzXLOKL,0,1279555772964364288,,,,en,,false,2694,1279547520855805952,TeamTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TeamTrump: WATCH: President Trump's Salute to America Remarks #IndependenceDay #4thOfJuly

Text TRUMP to 88022 https://t.co/4p63KDoVfb",https://twitter.com/JasonMillerinDC/status/1279555772964364288,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Fri Jul 24 10:32:24 +0000 2020,FoxNews,,https://fxn.ws/2CFr98T,70,1286610175483432960,,,,en,,false,25,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Christian Whiton: Trump's reelection prospects — 7 reasons why he'll likely see a second term https://t.co/rsjZHwSBXn #FoxNews,https://twitter.com/JasonMillerinDC/status/1286610175483432960,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11030,264812,3532,1844,"Washington, DC",Jason Miller,JasonMillerinDC,48239,,http://linkedin.com/in/jason-miller-543895195,true
,Thu Aug 06 12:39:01 +0000 2020,,,https://www.cleveland.com/opinion/2020/08/president-trump-is-succeeding-where-joe-biden-failed-steve-cortes.html,596,1291353080433451009,,,,en,,false,231,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","President Trump is succeeding where Joe Biden failed!

Read @CortesSteve: https://t.co/JdxBypiitW",https://twitter.com/TrumpWarRoom/status/1291353080433451009,Wed Mar 20 20:54:58 +0000 2019,TrumpWarRoom,false,"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",101,1223631,287,3542,MAGA Country,Trump War Room,TrumpWarRoom,26927,,https://www.donaldjtrump.com/,true
