coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Jul 13 18:59:42 +0000 2020,,,,0,1282751573882400770,,,,en,,,87,1282737412255485952,BettyBowers,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BettyBowers: @CaslerNoel @realDonaldTrump For an idea of how creepy Donald J. Trump's ""modeling"" agency was, this is real: https://t.co…",https://twitter.com/WhiteHouseWacko/status/1282751573882400770,Tue Jan 31 04:17:17 +0000 2017,WhiteHouseWacko,false,"#TeamPelosi #Resist #RESISTANCE Blocked by D.Loesch, T. Fitton, D. Bongino, S. Baio, K. Alley, C. Woolery, M. Tracey & R. Moore. #TrumpResign",62772,4253,4998,1,"Los Angeles, Ca",I Won't Back Down To Trumpism,WhiteHouseWacko,138733,,,false
,Tue Jul 07 23:54:42 +0000 2020,,,https://www.businessinsider.com/trump-went-to-a-movie-as-his-brother-died-alone-in-the-hospital-mary-trump-writes-2020-7,767,1280651485718745095,,,,en,,false,470,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trump went to a movie as his brother died alone in the hospital, his niece Mary Trump writes  https://t.co/KWPq5ETRhm",https://twitter.com/joncoopertweets/status/1280651485718745095,Sun Mar 29 20:12:52 +0000 2009,joncoopertweets,false,Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,192966,696840,49740,2420,New York,Jon Cooper 🇺🇸,joncoopertweets,227978,,,true
,Wed Jul 01 18:45:51 +0000 2020,,,,0,1278399434955599873,,,,en,,,4164,1278316326168268804,BY1959,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BY1959: The Trump administration just lent a troubled trucking company $700 million. The company was worth only $70 million

https://t.…",https://twitter.com/joncoopertweets/status/1278399434955599873,Sun Mar 29 20:12:52 +0000 2009,joncoopertweets,false,Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,192966,696840,49740,2420,New York,Jon Cooper 🇺🇸,joncoopertweets,227978,,,true
,Tue Jul 21 16:01:52 +0000 2020,,,,0,1285605923235540997,,,,en,,,422,1285371322411909121,crampell,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @crampell: We’re facing the worst economic conditions since the Great Depression, Fed is the only competent economic policymaking body w…",https://twitter.com/joncoopertweets/status/1285605923235540997,Sun Mar 29 20:12:52 +0000 2009,joncoopertweets,false,Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,192966,696840,49740,2420,New York,Jon Cooper 🇺🇸,joncoopertweets,227978,,,true
,Wed Jul 22 20:16:11 +0000 2020,,,,0,1286032311323156481,,,,en,,,560,1285980773317660673,jennycohn1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jennycohn1: The Ds failure to fulfill their constitutional obligation to conduct more impeachment hearings is crushing. It isn’t “just”…,https://twitter.com/joncoopertweets/status/1286032311323156481,Sun Mar 29 20:12:52 +0000 2009,joncoopertweets,false,Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,192966,696840,49740,2420,New York,Jon Cooper 🇺🇸,joncoopertweets,227978,,,true
,Sat Jul 11 16:36:57 +0000 2020,,,https://www.nbcnews.com/politics/2020-election/concern-over-turnout-was-factor-postponing-trump-rally-gop-advisers-n1233540,1,1281990876831637505,,,,en,,false,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ICYMI-Concern over turnout was factor in postponing Trump rally, GOP advisers say https://t.co/NPxeYakoRG",https://twitter.com/Women4Biden/status/1281990876831637505,Thu Apr 23 00:40:27 +0000 2020,Women4Biden,false,"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",17178,74882,2612,237,The White House,WomenForBidenHarris,Women4Biden,14549,,,false
,Thu Jul 23 20:27:23 +0000 2020,,,https://www.motherjones.com/politics/2020/07/stephen-millers-grandmother-died-of-covid-19-her-son-blames-the-trump-administration/,2695,1286397518641864706,,,,und,,false,878,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wow  https://t.co/McXjN2P4vC,https://twitter.com/MollyJongFast/status/1286397518641864706,Fri Apr 04 01:41:30 +0000 2008,MollyJongFast,false,Editor at large @thedailybeast. podcasting “The New Abnormal” & Wife of @Mattgreenfield & mother of @woketeenageson,825540,786303,5889,4434,,Molly Jong-Fast🏡,MollyJongFast,218941,,https://www.instagram.com/mollyjongfast/?hl=en,true
,Thu Jul 09 16:13:44 +0000 2020,,,,1861,1281260255444418566,,,,en,,,627,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",".@JoeBiden: ""The most sacred obligation of our government is to keep our troops safe when we send them into battle — and to care for them when they come home. We need a president who will honor that obligation.""",https://twitter.com/joncoopertweets/status/1281260255444418566,Sun Mar 29 20:12:52 +0000 2009,joncoopertweets,false,Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,192966,696840,49740,2420,New York,Jon Cooper 🇺🇸,joncoopertweets,227978,,,true
,Fri Jul 24 10:29:32 +0000 2020,Resist,,https://www.huffpost.com/entry/dave-grohl-scorches-trump-and-devos-in-powerful-essay-about-reopening-schools_n_5f19d132c5b6296fbf3f736e,612,1286609455917019140,,,,en,,false,240,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The @FooFighters' Grohl, whose mother was a career public school educator, slams Trump's plans for reopening schools:

""Teachers want to teach, not die, and we should support and protect them like the national treasures that they are.""

#Resist 

https://t.co/8xi7arlmDt",https://twitter.com/TheDemCoalition/status/1286609455917019140,Sat Mar 26 21:25:24 +0000 2016,TheDemCoalition,false,"We help run #TheResistance and established the #ImpeachmentTaskForce. We campaign for Dems, fight foreign influence & have unrivaled online organizing program.",117345,424010,27343,1977,"Washington, DC",Democratic Coalition,TheDemCoalition,178396,,http://www.democraticcoalition.org,true
,Mon Jul 13 10:55:23 +0000 2020,Biden2020,,,0,1282629692810498048,,,,en,,,656,1282607603680342018,electroboyusa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @electroboyusa: America can't take any more of your shit, @realDonaldTrump 

#Biden2020",https://twitter.com/joncoopertweets/status/1282629692810498048,Sun Mar 29 20:12:52 +0000 2009,joncoopertweets,false,Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,192966,696840,49740,2420,New York,Jon Cooper 🇺🇸,joncoopertweets,227978,,,true
