description,profile_image_url,id,name,screen_name,location,party
"@Transition46 Spokesperson for Jill Biden. Previously: @DrBiden Spox & Traveling Press Sec., @HouseDPCC, @SenatorCantwell, @Hardball, @BIGEAST🏊‍♂️@SHUSwimDive",http://pbs.twimg.com/profile_images/1241171840380305409/cO3BFVuV_normal.jpg,269314519,Michael LaRosa,MichaelLaRosaDC,,democrat
"dad, @kamalaharris hubby, lawyer, wannabe golfer, advocate for justice and equality.",http://pbs.twimg.com/profile_images/1294314759500828672/YZGF6hhA_normal.jpg,260759782,Doug Emhoff,DouglasEmhoff,,democrat
Serving the people of Illinois. Democratic Whip.,http://pbs.twimg.com/profile_images/1246087986950914049/wrjmeTUE_normal.jpg,247334603,Senator Dick Durbin,SenatorDurbin,,democrat
Lifelong educator. Military mother. Grandmother. Sister. Wife to @JoeBiden.,http://pbs.twimg.com/profile_images/1334146854414667777/P1NgFO9L_normal.jpg,821784477076750338,Dr. Jill Biden,DrBiden,,democrat
U.S. Senator from Minnesota. Text AMY to 91990 for updates.,http://pbs.twimg.com/profile_images/1220222507715686400/sugRph6d_normal.jpg,33537967,Amy Klobuchar,amyklobuchar,,democrat
"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",http://pbs.twimg.com/profile_images/1246536234282909698/l1kpWTbJ_normal.jpg,1058520120,Tammy Duckworth,SenDuckworth,,democrat
"Actor, Director, Producer, Writer 🎬 - I like to create things. INSTAGRAM: @KatieCassidy",http://pbs.twimg.com/profile_images/1143667099883016192/wyD8bk3x_normal.png,74169715,Katie Cassidy,MzKatieCassidy,"Los Angeles, CA ",democrat
"Father, grandfather, 42nd President of the United States, Founder, Clinton Foundation. Follow @ClintonFdn for more on our work around the world.",http://pbs.twimg.com/profile_images/1239440892664086529/iY0Z83Dr_normal.jpg,1330457336,Bill Clinton,BillClinton,"New York, NY",democrat
Congressman for Rhode Island’s 1st District. DPCC Chair. Antitrust Subcommittee Chairman. #ForThePeople,http://pbs.twimg.com/profile_images/1293589903981371395/EGp5bvty_normal.jpg,23593446,David Cicilline,davidcicilline,,democrat
"U.S. Senator, Massachusetts. She/her/hers. Official Senate account.",http://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg,970207298,Elizabeth Warren,SenWarren,,democrat
The official account of the Texas Democratic Party. #MyTexasVotes,http://pbs.twimg.com/profile_images/1013850694367916032/iWn_LbJA_normal.jpg,68219213,Texas Democrats,texasdemocrats,Texas,democrat
Editor at large @thedailybeast. podcasting “The New Abnormal” & Wife of @Mattgreenfield & mother of @woketeenageson,http://pbs.twimg.com/profile_images/1221616560252559360/d29_Rmsb_normal.jpg,14298769,Molly Jong-Fast🏡,MollyJongFast,,democrat
"Biden Harris 2020 |Research in Economic Mobility, Inequality &Mathematical Economics #Econtwitter",http://pbs.twimg.com/profile_images/1186509186252726272/6CN3i-M9_normal.jpg,1128409690902343680,Portia Antonia Alexis,PortiaEconomics,London School of Economics,democrat
Representing California's 28th Congressional District. Chairman of the House Intelligence Committee (@HouseIntel).,http://pbs.twimg.com/profile_images/1268175179626303497/-DNpPNUm_normal.jpg,29501253,Adam Schiff,RepAdamSchiff,"Burbank, CA",democrat
"We help run #TheResistance and established the #ImpeachmentTaskForce. We campaign for Dems, fight foreign influence & have unrivaled online organizing program.",http://pbs.twimg.com/profile_images/837403510111105025/RaRX8t9n_normal.jpg,713839291210792960,Democratic Coalition,TheDemCoalition,"Washington, DC",democrat
,http://pbs.twimg.com/profile_images/1177725147878477825/Znz9ndSl_normal.jpg,342863309,Beto O'Rourke,BetoORourke,"El Paso, TX",democrat
"We have to choose hope over fear, unity over division – and most important, truth over lies. - Joe Biden
Account ran by supporters of Biden
#OhioForBiden2020",http://pbs.twimg.com/profile_images/1123066041381392389/kliDgTuT_normal.jpg,1121369559078965250,Ohio For Biden 2020,BidenOhio,,democrat
Affinity account for Kamala supporters from IL #BidenHarris2020 #Khive4Biden #Biden2020  IG: @Illinois4Kamala,http://pbs.twimg.com/profile_images/1304062542726205440/e3XmUd31_normal.jpg,1112714150080376832,Illinois For Kamala #BidenHarris2020 ⚖️,Il4Kamala,"Illinois, USA",democrat
"#TeamPelosi #Resist #RESISTANCE Blocked by D.Loesch, T. Fitton, D. Bongino, S. Baio, K. Alley, C. Woolery, M. Tracey & R. Moore. #TrumpResign",http://pbs.twimg.com/profile_images/1307430988046237696/zN2z9T34_normal.jpg,826283183767367680,I Won't Back Down To Trumpism,WhiteHouseWacko,"Los Angeles, Ca",democrat
Democratic Caucus of the United States House of Representatives. Chairman: @RepJeffries; Vice Chair: @RepKClark. #ForThePeople,http://pbs.twimg.com/profile_images/1234593611448274944/TS948L_5_normal.jpg,43963249,House Democrats,HouseDemocrats,"Washington, D.C.",democrat
#Biden2020 #TeamJoe #UniteBlue #VoteBlueNoMatterWho #VoteBlue2020 Please retweet tweets you like & follow me?https://t.co/28wZjwH9ae,http://pbs.twimg.com/profile_images/1138221219298209794/KFb93SPL_normal.png,4794182534,Bold Blue Wave 2020 🌊 #TeamJoe #Biden2020,BoldBlueWave,Progressive USA,democrat
"Attorney General of California. I've sued @realDonaldTrump 100+ times to defend our families, resources & laws. This is my political account. #ProtectOurCare",http://pbs.twimg.com/profile_images/2172718354/71796_126698767383627_126694924050678_136739_4893093_n_normal.jpeg,565469671,Xavier Becerra,XavierBecerra,"Sacramento, CA",democrat
"The official Twitter account of the Democratic National Committee, led by Chair @TomPerez. Join our team to get the latest info on Democratic news and issues.",http://pbs.twimg.com/profile_images/1296651466657222661/VxgVj5Iy_normal.png,14377605,The Democrats,TheDemocrats,"Washington, D.C.",democrat
"U.S. Senator from Rhode Island, the Ocean State.",http://pbs.twimg.com/profile_images/1283042908648726531/kDPRtEdl_normal.jpg,242555999,Sheldon Whitehouse,SenWhitehouse,Rhode Island,democrat
We’re building a grassroots campaign to elect @JoeBiden to be the 46th President. Account managed by #TeamJoe staff. Text JOE to 30330 to join our campaign.,http://pbs.twimg.com/profile_images/1321646730203426816/cN2SiF4N_normal.jpg,1129095209772552192,Team Joe (Text JOE to 30330),TeamJoe,"Philadelphia, PA",democrat
"Official Account of Senator Chuck Schumer, New York’s Senator and the Senate Democratic Leader. Find resources on coronavirus at https://t.co/rDxNHBdKmV.",http://pbs.twimg.com/profile_images/978655909198036993/Gpnx2Os2_normal.jpg,17494010,Chuck Schumer,SenSchumer,"New York, NY",democrat
"U.S. Senator for Vermont. Not me, us.",http://pbs.twimg.com/profile_images/1097820307388334080/9ddg5F6v_normal.png,216776631,Bernie Sanders,BernieSanders,Vermont,democrat
"US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.",http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg,138203134,Alexandria Ocasio-Cortez,AOC,"Bronx + Queens, NYC",democrat
"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",http://pbs.twimg.com/profile_images/1307298410924519431/wbJWBdxb_normal.jpg,1253121466918408192,WomenForBidenHarris,Women4Biden,The White House,democrat
Formerly National Finance Chair of Draft Biden 2016; Long Island Campaign Chair for @BarackObama; Majority Leader of Suffolk County Legislature (NY). Views=Mine,http://pbs.twimg.com/profile_images/1240380279438655494/kB0eYos8_normal.jpg,27493883,Jon Cooper 🇺🇸,joncoopertweets,New York,democrat
Press Secretary for @KamalaHarris. Former @MikeBloomberg and @CoryBooker. Dog mom. Anything and all things dark chocolate.,http://pbs.twimg.com/profile_images/1222134872782725120/1Ji1t4HK_normal.jpg,880404086,Sabrina Singh,sabrinasingh24,"Washington, DC",democrat
To win: https://t.co/KZKCn1hh2O. @fairfightaction & @faircount & @The_SEAP. AKA Selena Montgomery. #AllInForVoting Books Available: #LeadFromTheOutside #OurTimeIsNow,http://pbs.twimg.com/profile_images/1324942842792456194/GnXx1rF8_normal.jpg,216065430,Stacey Abrams,staceyabrams,Georgia,democrat
"Patriotic American & proud immigrant. @Springsteen fan. Banned by Putin, fired by Trump. Former US Atty, SDNY. Host of ""Stay Tuned"" https://t.co/jtj1L5lfFp",http://pbs.twimg.com/profile_images/1294804118767312898/xe4AmzUL_normal.jpg,834081571493785600,Preet Bharara,PreetBharara,"New York, NY",democrat
"U.S. Senator, former teacher. Wife, mom (Amelia, Alex, Bailey, @CFPB), grandmother, and Okie. She/her. Official campaign account.",http://pbs.twimg.com/profile_images/1296929570231390209/hNsDkcQg_normal.jpg,357606935,Elizabeth Warren,ewarren,Massachusetts,democrat
United States Senator for California,http://pbs.twimg.com/profile_images/974690906669572098/Y6w06trG_normal.jpg,803694179079458816,Kamala Harris,SenKamalaHarris,,democrat
"Blocked by @realDonaldTrump. Since 2006, 700K veterans, military families, & supporters have been electing Veterans to office & fighting for progressive values.",http://pbs.twimg.com/profile_images/750693893637746688/5OJ82RsQ_normal.jpg,16513335,VoteVets (Text VOTEVETS to 88424),votevets,United States,democrat
