coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Sep 29 15:01:51 +0000 2020,RankLisaFirst,,https://t.co/6abYoSNB1G,0,1310957972529520640,,,,und,,false,27,1310946431423963138,AngelaNWalker,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @AngelaNWalker: #RankLisaFirst https://t.co/6abYoSNB1G,https://twitter.com/GreenPartyofNJ/status/1310957972529520640,Thu Feb 25 17:05:13 +0000 2010,GreenPartyofNJ,false,"#GreenTwitter: #GND #M4A #UBI #freecollege #defundPolice #defundWar. Seeking #Green candidates, organizers, media folx, donors https://t.co/lEKP1xmAtt , bffs",22559,7776,9432,117,New Jersey/Leni Lenape lands ,Green Party of New Jersey,GreenPartyofNJ,35989,,http://www.GPNJ.org,true
,Sat Sep 05 19:57:06 +0000 2020,,,,0,1302334964340465664,,,,en,,,4,1302305344731914242,my2meows,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @my2meows: Pls RT

🔥🔥***ATTN:  WISCONSIN***🔥🔥
Howie Hawkins will be a VALID write in candidate.  Don’t let the Democrats discourage you…",https://twitter.com/TXGreens/status/1302334964340465664,Fri Apr 09 04:13:10 +0000 2010,TXGreens,false,"People, Peace, & Planet over Profit! 
RT/F etc is not endorsement
http://t.co/pANIcJdKG5",6201,3432,3375,98,Tejas,Green Party of Texas,TXGreens,4469,,http://www.txgreens.org,true
,Thu Oct 08 13:37:34 +0000 2020,,,,0,1314198250195431426,,,,en,,,78,1313978662274777088,GreenPartyUS,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GreenPartyUS: fake debates = failed democracy,https://twitter.com/TXGreens/status/1314198250195431426,Fri Apr 09 04:13:10 +0000 2010,TXGreens,false,"People, Peace, & Planet over Profit! 
RT/F etc is not endorsement
http://t.co/pANIcJdKG5",6201,3432,3375,98,Tejas,Green Party of Texas,TXGreens,4469,,http://www.txgreens.org,true
,Fri Sep 11 16:47:19 +0000 2020,,,,0,1304461532210790404,,,,en,,,1,1304456208657465344,MarkNorberg2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @MarkNorberg2: @GreenPartyofNJ @realDonaldTrump @FLOTUS @GreenPartyUS @GOP @DNC @HowieHawkins @AngelaNWalker @LatinxsPorHowie Don't thro…,https://twitter.com/GreenPartyofNJ/status/1304461532210790404,Thu Feb 25 17:05:13 +0000 2010,GreenPartyofNJ,false,"#GreenTwitter: #GND #M4A #UBI #freecollege #defundPolice #defundWar. Seeking #Green candidates, organizers, media folx, donors https://t.co/lEKP1xmAtt , bffs",22559,7776,9432,117,New Jersey/Leni Lenape lands ,Green Party of New Jersey,GreenPartyofNJ,35989,,http://www.GPNJ.org,true
,Tue Aug 11 23:41:06 +0000 2020,MedicareForAll,,,0,1293331638563352578,,,,en,,,554,1293170971592011776,HowieHawkins,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @HowieHawkins: Do you want #MedicareForAll? There’s only one candidate to vote for this fall! We’re the only major campaign with ballot…,https://twitter.com/AngelaNWalker/status/1293331638563352578,Sat Apr 06 00:30:29 +0000 2019,AngelaNWalker,false,"Activist, Organizer, Mother, Grandmother, Veteran, and Green Party Nominee for Vice President. Running mate of @HowieHawkins",8220,30168,3590,135,"Florence, SC",Angela Walker,AngelaNWalker,5297,,http://www.HowieHawkins.us,true
,Sun Sep 20 23:29:42 +0000 2020,Greens JessicaClayton GreenTwitter,,,16,1307824286736973824,,,,en,,,7,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","One of two elected #Greens in New Jersey, #JessicaClayton, Board of Education, Brick, NJ, is speaking live now with @GreenPartyUS women with @hoffman4US2020 @DrJillStein @LisaForMaine @AngelaNWalker @FrancaMullerPaz and more live on @Facebook and @Twitter. #GreenTwitter rocks!",https://twitter.com/GreenPartyofNJ/status/1307824286736973824,Thu Feb 25 17:05:13 +0000 2010,GreenPartyofNJ,false,"#GreenTwitter: #GND #M4A #UBI #freecollege #defundPolice #defundWar. Seeking #Green candidates, organizers, media folx, donors https://t.co/lEKP1xmAtt , bffs",22559,7776,9432,117,New Jersey/Leni Lenape lands ,Green Party of New Jersey,GreenPartyofNJ,35989,,http://www.GPNJ.org,true
,Thu Aug 20 14:50:37 +0000 2020,WhiteSupremacy authoritarian fascism,,https://twitter.com/SDNYnews/status/1296438759198687232,5,1296459630617473024,,,,en,,false,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","You love to see it. The real crime, however, here is #WhiteSupremacy cloaked in #authoritarian #fascism from @GOP and @realDonaldTrump. Lots of @DNC complicity, too. https://t.co/0s8Rp6btfi",https://twitter.com/GreenPartyofNJ/status/1296459630617473024,Thu Feb 25 17:05:13 +0000 2010,GreenPartyofNJ,false,"#GreenTwitter: #GND #M4A #UBI #freecollege #defundPolice #defundWar. Seeking #Green candidates, organizers, media folx, donors https://t.co/lEKP1xmAtt , bffs",22559,7776,9432,117,New Jersey/Leni Lenape lands ,Green Party of New Jersey,GreenPartyofNJ,35989,,http://www.GPNJ.org,true
,Fri Sep 04 12:01:33 +0000 2020,,https://twitter.com/HowieHawkins/status/1301852900113747968/photo/1,https://hawkins20.us/Donate15,43,1301852900113747968,,,,en,,false,24,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","It's $15 Friday and we need your help to keep growing this people-powered campaign!

Donate today at https://t.co/DEK7p9mXGy https://t.co/5HcGULaWBt",https://twitter.com/HowieHawkins/status/1301852900113747968,Mon May 10 09:57:01 +0000 2010,HowieHawkins,false,"2020 Green Party nominee for President, running w/ @AngelaNWalker.

Help build the Green New Deal today: https://t.co/8wKzB9BxF8

Tweets by staff.",1618,73330,2996,403,"Syracuse, NY",Howie Hawkins,HowieHawkins,10573,,https://howiehawkins.us/,true
,Sun Sep 27 21:12:57 +0000 2020,,,,6,1310326588240728064,theredshift11,1310311600784437200,2861498871,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@theredshift11 @mathemattic @TTaesarang @gcramer30 @gdpr99 @Sherryb54671978 @MarrzieM @Dragonxcore @Moron4TheWorld @pammyjill13 @MarvinIs4ThePpl @mikevictor2020 @montanasociali3 @PPO_Fund @LadyReverbs @Jaytingwalker @GhostlyJorg @VoteGarret @ComradeLegolas @SAVoltolin @JohnStalv01 @LynnInChicago2 @CongressKate @HRegorg @NicoleNonya @Fuksoks @SJProgressive @proreviewer1 @brambo13 @HowieHawkins @FrancaMullerPaz @Jake4D6 @BagdesCanning @glowstreetlight @RichardLWeiss @miseDominic @LisaForMaine @b_celentano @vulpus_umbra @Cronadius @bluefishie555 @MamaEarthAngry @PDiddie @funnyfergi @NYdbagRedux @jaspervaz @Jscott1145 @WeAreNotAsking @ming_mongo @GarciaAlcor I'm clapping too, and this is MY page, so...",https://twitter.com/AngelaNWalker/status/1310326588240728064,Sat Apr 06 00:30:29 +0000 2019,AngelaNWalker,false,"Activist, Organizer, Mother, Grandmother, Veteran, and Green Party Nominee for Vice President. Running mate of @HowieHawkins",8220,30168,3590,135,"Florence, SC",Angela Walker,AngelaNWalker,5297,,http://www.HowieHawkins.us,true
,Wed Sep 30 03:18:56 +0000 2020,,,,0,1311143464126611456,,,,en,,,12,1311124859410407424,AngelaNWalker,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @AngelaNWalker: Dogwhistling so loud that Dida almost woke up.,https://twitter.com/GreenPartyofNJ/status/1311143464126611456,Thu Feb 25 17:05:13 +0000 2010,GreenPartyofNJ,false,"#GreenTwitter: #GND #M4A #UBI #freecollege #defundPolice #defundWar. Seeking #Green candidates, organizers, media folx, donors https://t.co/lEKP1xmAtt , bffs",22559,7776,9432,117,New Jersey/Leni Lenape lands ,Green Party of New Jersey,GreenPartyofNJ,35989,,http://www.GPNJ.org,true
