coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Jul 26 20:58:51 +0000 2020,Education VoteGold VoteLibertarian,https://twitter.com/Jorgensen4POTUS/status/1287492601269170177/photo/1,https://www.paceinfreedom.com/townhall,162,1287492601269170177,,,,en,,false,59,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Join @RealSpikeCohen, educators, and parents on 7/30/20 in a virtual town hall hosted by @paceinfreedom. You can sign up to be a panelist or an observer as they discuss our failing education system. https://t.co/RauiqyKOdg 

#Education #VoteGold #VoteLibertarian https://t.co/pLWRR1bd0n",https://twitter.com/Jorgensen4POTUS/status/1287492601269170177,Tue Sep 24 05:28:28 +0000 2019,Jorgensen4POTUS,false,"#Libertarian candidate for #President of the United States.  Psychologist, Senior lecturer at Clemson University, proud mother and grandmother, hockey player.",16605,184054,227,443,,Jo Jorgensen,Jorgensen4POTUS,3822,,https://jo20.com/,true
,Fri Oct 23 21:57:59 +0000 2020,,,,4,1319760002614202368,LibertarianTn,1319759570600927200,737451366390628400,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@TN4Jorgensen @LPNational @LPArkansas @LPGeorgia @LPOhio Analyze mine!

Check out ""Todd Hiett vs. Todd Hagopian""

I would appreciate any tips you can offer!",https://twitter.com/ToddHagopian/status/1319760002614202368,Fri Jul 24 03:13:04 +0000 2009,ToddHagopian,false,"Just another Liberty Podcaster (@chatschief), got 345,000 people to vote Libertarian one time, NE OK LP Chair, Business Owner, Husband, Father of 4 amazing boys",56516,42872,14551,472,"Bixby, OK",Libertarian-In-Chief,ToddHagopian,58128,,https://anchor.fm/chief-chats/episodes/Election-EveIs-this-thing-on-elugg0,true
,Wed Sep 09 16:19:23 +0000 2020,VoteGold,,,922,1303729727346298882,,,,en,,,264,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Joe Biden has a terrible record on criminal justice reform and civil liberties.

Donald Trump ha a terrible record on fiscal responsibility and free markets.

And both are serial violators of women.

There is a better way, America. Join us, and #VoteGold for @Jorgensen4POTUS",https://twitter.com/LPTexas/status/1303729727346298882,Mon Apr 27 17:31:40 +0000 2009,LPTexas,false,"Official - Libertarian Party of Texas. The only political party for personal liberty, free markets, peace & prosperity. #VoteGold",1734,9160,454,168,Texas,Libertarian Party of Texas,LPTexas,6317,,http://www.lptexas.org,true
,Wed Aug 19 20:39:02 +0000 2020,,https://twitter.com/ToddHagopian/status/1296184924333133824/photo/1,,11,1296184924333133824,,,,en,,false,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MAGA email in my inbox this morning

Stay classy, @realDonaldTrump 

Im no Biden Fan, but at least Cardi B wasn’t performing golden showers for him https://t.co/Z84hHsiZMt",https://twitter.com/ToddHagopian/status/1296184924333133824,Fri Jul 24 03:13:04 +0000 2009,ToddHagopian,false,"Just another Liberty Podcaster (@chatschief), got 345,000 people to vote Libertarian one time, NE OK LP Chair, Business Owner, Husband, Father of 4 amazing boys",56516,42872,14551,472,"Bixby, OK",Libertarian-In-Chief,ToddHagopian,58128,,https://anchor.fm/chief-chats/episodes/Election-EveIs-this-thing-on-elugg0,true
,Wed Oct 28 00:29:24 +0000 2020,,,,8,1321247660171501569,nsarwark,1321245659706593300,33221250,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@nsarwark Pack for the LPTexas executive leadership board meeting on the 7th in New Braunfels and look forward to having a bourbon with @Jorgensen4POTUS,https://twitter.com/VoteScheirman/status/1321247660171501569,Thu Jan 02 23:10:24 +0000 2020,VoteScheirman,false,"Elliott Scheirman for Congress in TX's 2nd District.
Giving a voice to those who want to live their lives free from government control.  Retire the duopoly!",5246,1687,1152,19,"Houston, TX",Scheirman for Congress,VoteScheirman,4600,,http://ScheirmanForCongress.com,true
,Wed Oct 14 00:45:19 +0000 2020,,,https://twitter.com/RealSpikeCohen/status/1273691954761498625,127,1316178236762656769,,,,en,,false,19,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you again for your endorsement @RealSpikeCohen, we are hoping for big things in Oklahoma! https://t.co/Kk0cZEYOg5",https://twitter.com/ToddHagopian/status/1316178236762656769,Fri Jul 24 03:13:04 +0000 2009,ToddHagopian,false,"Just another Liberty Podcaster (@chatschief), got 345,000 people to vote Libertarian one time, NE OK LP Chair, Business Owner, Husband, Father of 4 amazing boys",56516,42872,14551,472,"Bixby, OK",Libertarian-In-Chief,ToddHagopian,58128,,https://anchor.fm/chief-chats/episodes/Election-EveIs-this-thing-on-elugg0,true
,Tue Oct 13 13:34:50 +0000 2020,,,,6,1316009502198693889,,,,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",".@realDonaldTrump ur sudden fan boy &amp; lap dog Moscow Mitch @senatemajldr refuses to debate @barron_ky &amp; mouth piece @SenTomCotton wont debate @RickyForSenate. Barron met ALL criteria, Ricky is polling 40%. Do you opposed voter suppression?
@LPMisesCaucus @LPNational @NewJerseyLP",https://twitter.com/rufo4congress/status/1316009502198693889,Sun Jan 28 00:41:42 +0000 2018,rufo4congress,false,"Father, Husband, Liberty Lovin’ minarchist, active NJLP member and 2018 and current 2020 LP Candidate - US House of Representatives - NJ District 4",12187,1901,1223,10,"Jackson, NJ",Michael Rufo,rufo4congress,4403,,http://www.runrufo2020.com,true
,Thu Aug 20 16:21:21 +0000 2020,HR7085,,,0,1296482462391042048,,,,en,,,131,1296466052474449921,RealSpikeCohen,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @RealSpikeCohen: Congressional Support should be a given for @justinamash and @AyannaPressley Ending Qualified Immunity Act #HR7085 http…,https://twitter.com/Jorgensen4POTUS/status/1296482462391042048,Tue Sep 24 05:28:28 +0000 2019,Jorgensen4POTUS,false,"#Libertarian candidate for #President of the United States.  Psychologist, Senior lecturer at Clemson University, proud mother and grandmother, hockey player.",16605,184054,227,443,,Jo Jorgensen,Jorgensen4POTUS,3822,,https://jo20.com/,true
,Sat Aug 15 19:38:19 +0000 2020,,,,22,1294720093411319811,geek3point0,1294719707962957800,11151842,en,,,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@geek3point0 @RealSpikeCohen Thank you (but let's keep that ""bat"" talk down, okay?) 😉🦇",https://twitter.com/Jorgensen4POTUS/status/1294720093411319811,Tue Sep 24 05:28:28 +0000 2019,Jorgensen4POTUS,false,"#Libertarian candidate for #President of the United States.  Psychologist, Senior lecturer at Clemson University, proud mother and grandmother, hockey player.",16605,184054,227,443,,Jo Jorgensen,Jorgensen4POTUS,3822,,https://jo20.com/,true
,Sat Oct 31 16:59:52 +0000 2020,,,,2,1322584082849669122,LibertarianWhy,1322583587133292500,1299011763518804000,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LibertarianWhy @RickyForSenate @ToddHagopian @ShaneTHazel @Jorgensen4POTUS @RealSpikeCohen @DonaldRainwater Hell yea!!!,https://twitter.com/rufo4congress/status/1322584082849669122,Sun Jan 28 00:41:42 +0000 2018,rufo4congress,false,"Father, Husband, Liberty Lovin’ minarchist, active NJLP member and 2018 and current 2020 LP Candidate - US House of Representatives - NJ District 4",12187,1901,1223,10,"Jackson, NJ",Michael Rufo,rufo4congress,4403,,http://www.runrufo2020.com,true
,Mon Oct 05 12:52:12 +0000 2020,,,,41,1313099669262733313,,,,en,,,8,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Reckless &amp; cavalier.

That describes Trump’s attitude towards COVID. And also his attitude towards our national debt, and a 19 year long war, and spying on U.S. citizens, and criminal justice reform, and on and on and on.

Reckless &amp; cavalier describes Trump.",https://twitter.com/LPTexas/status/1313099669262733313,Mon Apr 27 17:31:40 +0000 2009,LPTexas,false,"Official - Libertarian Party of Texas. The only political party for personal liberty, free markets, peace & prosperity. #VoteGold",1734,9160,454,168,Texas,Libertarian Party of Texas,LPTexas,6317,,http://www.lptexas.org,true
,Sat Oct 17 18:00:35 +0000 2020,,,,17,1317525933717336072,Ben_Is_AFK,1317525573552476200,1316091919907385300,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@BD_LP_Official @RealSpikeCohen @LPNational @LPOhio Thanks, Ben!",https://twitter.com/Jorgensen4POTUS/status/1317525933717336072,Tue Sep 24 05:28:28 +0000 2019,Jorgensen4POTUS,false,"#Libertarian candidate for #President of the United States.  Psychologist, Senior lecturer at Clemson University, proud mother and grandmother, hockey player.",16605,184054,227,443,,Jo Jorgensen,Jorgensen4POTUS,3822,,https://jo20.com/,true
,Thu Aug 13 19:07:09 +0000 2020,SpikeTheDebate,,,151,1293987471814873098,,,,en,,,77,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It's time to tell the CPD (@debates) to #SpikeTheDebate and get @RealSpikeCohen onto the debate stage, to provide a voice to the nearly 40% of Americans who don't subscribe to the two major parties and their tired grip on our lives.",https://twitter.com/LPofCal/status/1293987471814873098,Thu Feb 25 05:50:46 +0000 2010,LPofCal,false,"The Official Twitter of the Golden State's Libertarian Party, where we go with the flow of Ideas, Markets, and Individual Liberty. RTs =/= endorsements",1253,3694,346,47,"Sacramento, CA",Libertarian Party of California,LPofCal,3921,,http://www.ca.lp.org,true
,Mon Oct 26 22:18:16 +0000 2020,,,,1,1320852273426243584,_DodgersFamilia,1320851122853208000,4542766573,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@_DodgersFamilia FL --&gt; Biden, if you click the link to see my map",https://twitter.com/ToddHagopian/status/1320852273426243584,Fri Jul 24 03:13:04 +0000 2009,ToddHagopian,false,"Just another Liberty Podcaster (@chatschief), got 345,000 people to vote Libertarian one time, NE OK LP Chair, Business Owner, Husband, Father of 4 amazing boys",56516,42872,14551,472,"Bixby, OK",Libertarian-In-Chief,ToddHagopian,58128,,https://anchor.fm/chief-chats/episodes/Election-EveIs-this-thing-on-elugg0,true
,Fri Oct 23 16:46:25 +0000 2020,EndOvertimeTax,,,8,1319681596157579264,The5CatChannel,1319676489755881500,875947982604050400,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@The5CatChannel @Jorgensen4POTUS And it's the kind of idea that would be difficult for republicans or democrats to vote against, meaning we could actually get it passed.

Who wants to be on record telling voters that they don't think the government takes enough off the top from their hard work?  #EndOvertimeTax",https://twitter.com/VoteScheirman/status/1319681596157579264,Thu Jan 02 23:10:24 +0000 2020,VoteScheirman,false,"Elliott Scheirman for Congress in TX's 2nd District.
Giving a voice to those who want to live their lives free from government control.  Retire the duopoly!",5246,1687,1152,19,"Houston, TX",Scheirman for Congress,VoteScheirman,4600,,http://ScheirmanForCongress.com,true
,Thu Sep 10 15:02:35 +0000 2020,,,https://chicago.suntimes.com/news/2019/5/8/18619206/under-donald-trump-drone-strikes-far-exceed-obama-s-numbers https://www.latimes.com/politics/story/2019-09-07/trumps-shameful-rules-of-engagement-are-killing-civilians https://theintercept.com/2019/10/02/trump-impeachment-civilian-casualties-war/ https://reason.com/2020/01/28/america-dropped-a-record-number-of-bombs-on-afghanistan-last-year/ https://www.theguardian.com/us-news/2020/jan/28/us-afghanistan-war-bombs-2019 https://foreignpolicy.com/2020/05/22/obama-drones-trump-killings-count/,36,1304072787619983362,philthatremains,1304023868894576600,15522405,und,,false,7,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@philthatremains https://t.co/Aj6XCVKzEU
https://t.co/0uvOKP76UE
https://t.co/SOm1JTOUeR
https://t.co/BHJoLhAN9F
https://t.co/40Pg3SeJ1R
https://t.co/VfRrDCjAtt",https://twitter.com/justinamash/status/1304072787619983362,Tue Jan 04 07:09:11 +0000 2011,justinamash,false,"I defend #liberty • Libertarian • “Laws must be general, equal, and certain.” —F.A. Hayek",525,467026,6029,4549,Michigan,Justin Amash,justinamash,18279,,,true
,Fri Nov 06 17:57:31 +0000 2020,,,https://twitter.com/OKelections/status/1324733847766999040,31,1324772919482961921,LPNational,,31464977,und,,false,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LPNational https://t.co/1BtvTNobgl,https://twitter.com/ToddHagopian/status/1324772919482961921,Fri Jul 24 03:13:04 +0000 2009,ToddHagopian,false,"Just another Liberty Podcaster (@chatschief), got 345,000 people to vote Libertarian one time, NE OK LP Chair, Business Owner, Husband, Father of 4 amazing boys",56516,42872,14551,472,"Bixby, OK",Libertarian-In-Chief,ToddHagopian,58128,,https://anchor.fm/chief-chats/episodes/Election-EveIs-this-thing-on-elugg0,true
,Wed Nov 11 19:00:07 +0000 2020,,,https://twitter.com/nickgillespie/status/1326598071703068672,0,1326600612998508547,TheDemocrats,,14377605,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@TheDemocrats “you are the handmaiden(s) to the police state..” https://t.co/yMox3Peqy1,https://twitter.com/rufo4congress/status/1326600612998508547,Sun Jan 28 00:41:42 +0000 2018,rufo4congress,false,"Father, Husband, Liberty Lovin’ minarchist, active NJLP member and 2018 and current 2020 LP Candidate - US House of Representatives - NJ District 4",12187,1901,1223,10,"Jackson, NJ",Michael Rufo,rufo4congress,4403,,http://www.runrufo2020.com,true
,Thu Nov 05 20:06:42 +0000 2020,,,,31,1324443041726373889,snoopuhh,1324442927842680800,96063461,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@snoopuhh @LibertyCliff @JoeBiden I’m pretty sure you don’t get it.,https://twitter.com/justinamash/status/1324443041726373889,Tue Jan 04 07:09:11 +0000 2011,justinamash,false,"I defend #liberty • Libertarian • “Laws must be general, equal, and certain.” —F.A. Hayek",525,467026,6029,4549,Michigan,Justin Amash,justinamash,18279,,,true
