coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Jul 06 07:30:46 +0000 2020,,,https://twitter.com/MrAndyNgo/status/1280024619756339200,762,1280041483320483840,,,,en,,false,289,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Attention, @realDonaldTrump @KerriKupecDOJ https://t.co/NIVDINVVix",https://twitter.com/michellemalkin/status/1280041483320483840,Mon Aug 25 02:52:07 +0000 2008,michellemalkin,false,Little brown woman. Big mouth. Wife. Mom. Entrepreneur. Geek. #WhoIsNext #StillAThing #ManitouIncline #freedanielholtzclaw #EffSharia #FightTheCensors,44269,2221739,18176,14483,USA,Michelle Malkin,michellemalkin,78181,,https://www.amazon.com/Open-Borders-Inc-Funding-America/dp/1621579719/ref=sr_1_1?keywords=open+borde,true
,Mon Jul 20 23:53:42 +0000 2020,AmericaFirst,,https://tucson.com/opinion/az-treasurer-kimberly-yee-why-i-support-president-trump-and-his-vision-of-the-american/article_627d8460-3484-5c58-a6e0-4bbabed97275.html,625,1285362275461656576,,,,en,,false,207,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ICYMI Arizona State Treasurer @KimberlyYeeAZ wrote an OP-ED highlighting why she supports President @realDonaldTrump and his #AmericaFirst agenda ⤵️ https://t.co/Ccqx0YUQ5j,https://twitter.com/AZGOP/status/1285362275461656576,Thu Aug 21 21:30:45 +0000 2008,AZGOP,false,The official Twitter account of the Republican Party of Arizona.,16650,59134,2302,500,"Phoenix, AZ",Arizona Republican Party,AZGOP,20426,,http://www.azgop.com/,true
,Wed Jul 08 20:03:33 +0000 2020,,,,1281,1280955701985251330,,,,en,,,432,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Today, President @realDonaldTrump is welcoming the President of Mexico to the White House to celebrate the historic USMCA trade deal.
 
Meanwhile, Joe Biden has supported failed trade deals like the TPP and NAFTA that have put the interests of other countries first.",https://twitter.com/GOP/status/1280955701985251330,Thu Dec 13 17:15:41 +0000 2007,GOP,false,Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,264,2719131,1649,11225,,GOP,GOP,44506,,https://goo.gl/xqho9k,true
,Wed Jul 22 20:15:26 +0000 2020,,https://twitter.com/GOP/status/1286032123204337665/video/1,,820,1286032123204337665,,,,en,,false,249,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","“We will work every single day to restore public safety, protect our nation’s children, and bring violent perpetuators to justice.” -@realDonaldTrump https://t.co/9ZtRibANQS",https://twitter.com/GOP/status/1286032123204337665,Thu Dec 13 17:15:41 +0000 2007,GOP,false,Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,264,2719131,1649,11225,,GOP,GOP,44506,,https://goo.gl/xqho9k,true
,Thu Jul 02 23:00:21 +0000 2020,,,https://www.redstate.com/bonchie/2020/07/02/report-trump-wasnt-briefed-on-unverified-russian-bounty-intel-but-adam-schiff-was-and-hid-it/?utm_source=Twitter&utm_medium=social&utm_term=report-trump-wasnt-briefed-on-unverified-russian-bounty-intel-but-adam-schiff-was-and-hid-it&utm_content=0&utm_campaign=PostPromoterPro,46,1278825870896123904,,,,en,,false,31,,,"<a href=""https://postpromoterpro.com"" rel=""nofollow"">Post Promoter Pro WP</a>","Report: Trump Wasn’t Briefed On Unverified Russian Bounty Intel, But Adam Schiff Was https://t.co/Zf92ZK7IRA",https://twitter.com/RedState/status/1278825870896123904,Sun Apr 01 16:25:38 +0000 2007,RedState,false,,143,259696,366,4528,"Washington, D.C.",RedState,RedState,112952,,http://www.redstate.com,true
,Tue Jul 21 22:05:41 +0000 2020,,,https://thedcpatriot.com/%e2%80%8bcheck-mate-missouri-governor-prepared-to-pardon-st-louis-couple/,37,1285697484048797696,WhiteHouse,1285683734776176600,822215673812119600,und,,false,13,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@WhiteHouse @realDonaldTrump https://t.co/iBh3kyrgKW,https://twitter.com/RealMattCouch/status/1285697484048797696,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",321006,481696,111520,206,"NW Arkansas, USA",Matt Couch,RealMattCouch,319903,,http://www.TheDCPatriot.com,false
,Tue Jul 21 22:06:03 +0000 2020,,,https://thedcpatriot.com/%e2%80%8bcheck-mate-missouri-governor-prepared-to-pardon-st-louis-couple/,63,1285697574410883078,realDonaldTrump,1285524871666118700,25073877,und,,false,20,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@realDonaldTrump https://t.co/iBh3kyrgKW,https://twitter.com/RealMattCouch/status/1285697574410883078,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",321006,481696,111520,206,"NW Arkansas, USA",Matt Couch,RealMattCouch,319903,,http://www.TheDCPatriot.com,false
,Sun Jul 12 16:48:24 +0000 2020,,,https://twitter.com/jonathanvswan/status/1282321875478224899,566,1282356143621365760,,,,en,,false,261,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Joe Biden shipped millions of jobs to China and pallets of cash to Iran. https://t.co/U4FPOBDxGP,https://twitter.com/JasonMillerinDC/status/1282356143621365760,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Sat Jul 11 12:34:48 +0000 2020,,,https://www.newsbusters.org/blogs/nb/tim-graham/2020/07/10/cnn-insists-trump-casting-biden-radical-leftist-tough-sell,273,1281929936891240448,,,,en,,false,193,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The Joe Biden-Bernie Sanders ""Unity Platform"" pushes tax hikes, Green New Deal, universal health care, ending cash bail, abolishing death penalty, ending school choice, ending national security travel ban, taxpayer funded gender reassignment surgeries...

https://t.co/zVGeJ6vbIg",https://twitter.com/JasonMillerinDC/status/1281929936891240448,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Sat Jul 04 23:20:43 +0000 2020,IndependenceDay 4thOfJuly,,https://twitter.com/i/broadcasts/1nAKEAlzXLOKL,0,1279555772964364288,,,,en,,false,2693,1279547520855805952,TeamTrump,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TeamTrump: WATCH: President Trump's Salute to America Remarks #IndependenceDay #4thOfJuly

Text TRUMP to 88022 https://t.co/4p63KDoVfb",https://twitter.com/JasonMillerinDC/status/1279555772964364288,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
