type,name,screen_name,party,id
caucus,Blue Collar Caucus,BlueCollarDems,D,817097052375187457
caucus,Blue Dog Coalition,HouseBlueDogs,D,224685124
caucus,Congressional Antitrust Caucus,AntitrustCaucus,D,951207213728698374
caucus,Congressional Asian Pacific American Caucus,CAPAC,D,192955168
caucus,Congressional Black Caucus,CBCPAC,D,204966625
caucus,Congressional Black Caucus,TheBlackCaucus,D,233783568
caucus,Congressional Health Caucus,HealthCaucus,R,20020575
caucus,Congressional Pro-Choice Caucus,ProChoiceCaucus,D,809505942186455041
caucus,Congressional Progressive Caucus,USProgressives,D,246088673
caucus,Congressional Western Caucus,westerncaucus,R,144986277
caucus,Democracy Reform Task Force,House_DRTF,D,819992111407919104
caucus,Democratic Women's Caucus,HouseDemWomen,D,890675418780618753
caucus,GOP Doctors Caucus,gopdoccaucus,R,119899270
caucus,Hispanic Caucus,HispanicCaucus,D,33530012
caucus,House Freedom Caucus,conversations,R,562989744
caucus,House Freedom Caucus,freedomcaucus,R,2990729241
caucus,House Liberty Caucus,libertycaucus,R,426862142
caucus,LGBT Equality Caucus,LGBTEqCaucus,D,1392282998
caucus,Media Fairness Caucus,FairMediaCaucus,R,819251374500278272
caucus,New Democrat Coalition,NewDemCoalition,D,761783018
caucus,Republican Study,RepublicanStudy,R,22528309
caucus,Republican Women's Policy Committee,LadiesGOP,R,1322558402
caucus,Safe Climate Caucus,caucusonclimate,D,2792540601
caucus,Sustainable Energy & Environment Coalition,seec,D,29205600
committee,House Committee on Agriculture,HouseAgGOP,R,234573331
committee,House Committee on Agriculture,HouseAgDems,D,989317210463186946
committee,House Committee on Appropriations,AppropsDems,D,30912937
committee,House Committee on Appropriations,HouseAppropsGOP,R,301549400
committee,House Committee on Armed Services,HASCRepublicans,R,20192403
committee,House Committee on Armed Services,HASCDemocrats,D,74294786
committee,House Committee on Education and the Workforce,EdLaborCmte,D,7004382
committee,House Committee on Education and the Workforce,EdLaborGOP,R,16424044
committee,House Committee on Energy and Commerce,EnergyCommerce,D,30929600
committee,House Committee on Energy and Commerce,HouseCommerce,R,114756202
committee,House Committee on Financial Services,FinancialCmte,R,42924141
committee,House Committee on Financial Services,FSCDems,D,294084341
committee,House Committee on Foreign Affairs,HouseForeign,D,61206798
committee,House Committee on Foreign Affairs,HouseForeignGOP,R,75367781
committee,House Committee on Homeland Security,HomelandDems,D,208692908
committee,House Committee on Homeland Security,HomelandGOP,R,239964567
committee,House Committee on House Administration,HouseAdm_Dems,D,19716781
committee,House Committee on House Administration,HouseAdmnGOP,R,224391627
committee,House Committee on Natural Resources,NatResources,R,41445718
committee,House Committee on Natural Resources,NRDems,D,247486443
committee,House Committee on Oversight and Government Reform,GOPoversight,R,22508473
committee,House Committee on Oversight and Government Reform,OversightDems,D,31122582
committee,House Committee on Rules,RulesReps,R,78369108
committee,House Committee on Rules,RulesDemocrats,D,855482971868069890
committee,"House Committee on Science, Space, and Technology",HouseScience,D,22053641
committee,"House Committee on Science, Space, and Technology",housesciencegop,R,23103488
committee,House Committee on Small Business,HSBCgop,R,2978291435
committee,House Committee on Small Business,HouseSmallBiz,D,861611548250394624
committee,House Committee on Transportation and Infrastructure,TransportDems,D,21684013
committee,House Committee on Transportation and Infrastructure,TransportGOP,R,35829796
committee,House Committee on Veterans' Affairs,VetAffairsDems,D,151519500
committee,House Committee on Veterans' Affairs,HouseVetAffairs,R,282093902
committee,House Committee on Ways and Means,WaysandMeansGOP,R,12788332
committee,House Committee on Ways and Means,WaysMeansCmte,D,31128529
committee,House Committee on the Budget,HouseBudgetDems,D,151963505
committee,House Committee on the Budget,housebudgetGOP,R,778700700696010754
committee,House Committee on the Judiciary,HouseJudiciary,D,246357149
committee,House Committee on the Judiciary,JudiciaryGOP,R,1131917492
committee,House Select Committee on the Climate Crisis,ClimateCrisis,D,1109185600354242563
committee,House Select Committee on the Modernization of Congress,ModernizeCmte,D,1105127249852936200
committee,House Select Committee on the Modernization of Congress,ModComGOP,R,1108014862926528512
committee,House Select Subcommittee on the Coronavirus Crisis,COVIDOversight,D,1257758638275473409
committee,House Select Subcommittee on the Coronavirus Crisis,SelectGOP,R,1261286876142604288
member,Don Young,repdonyoung,R,37007274
member,Bradley Byrne,RepByrne,R,2253968388
member,Gary Palmer,USRepGaryPalmer,R,2861616083
member,Martha Roby,RepMarthaRoby,R,224294785
member,Mike Rogers,RepMikeRogersAL,R,33977070
member,Mo Brooks,RepMoBrooks,R,237299871
member,Robert Aderholt,Robert_Aderholt,R,76452765
member,Terri Sewell,RepTerriSewell,D,381152398
member,Bruce Westerman,RepWesterman,R,2852998461
member,French Hill,RepFrenchHill,R,2953974395
member,Rick Crawford,RepRickCrawford,R,233693291
member,Steve Womack,rep_stevewomack,R,234469322
member,Amata Coleman Radewagen,RepAmata,R,3026622545
member,Andy Biggs,RepAndyBiggsAZ,R,816652616625168388
member,Ann Kirkpatrick,RepKirkpatrick,D,1081240074946252801
member,David Schweikert,RepDavid,R,229197216
member,Debbie Lesko,RepDLesko,R,996094929733652481
member,Greg Stanton,RepGregStanton,D,1080885078425784320
member,Paul Gosar,RepGosar,R,240760644
member,Raul Grijalva,RepRaulGrijalva,D,28602948
member,Ruben Gallego,RepRubenGallego,D,2966570782
member,Tom O'Halleran,RepOHalleran,D,808416682972770304
member,Adam Schiff,RepAdamSchiff,D,29501253
member,Alan Lowenthal,RepLowenthal,D,1055730738
member,Ami Bera,RepBera,D,950783972
member,Anna Eshoo,RepAnnaEshoo,D,249348006
member,Barbara Lee,RepBarbaraLee,D,248735463
member,Brad Sherman,BradSherman,D,30216513
member,Devin Nunes,DevinNunes,R,54412900
member,Devin Nunes,RepDevinNunes,R,344972339
member,Doris Matsui,DorisMatsui,D,38254095
member,Doug LaMalfa,RepLaMalfa,R,1069124515
member,Eric Swalwell,RepSwalwell,D,942156122
member,Gil Cisneros,RepGilCisneros,D,1080986167003230208
member,Grace Napolitano,gracenapolitano,D,161411080
member,Harley Rouda,RepHarley,D,1075080722241736704
member,Jackie Speier,RepSpeier,D,24913074
member,Jared Huffman,RepHuffman,D,1071102246
member,Jerry McNerney,RepMcNerney,D,385429543
member,Jim Costa,RepJimCosta,D,245451804
member,Jimmy Gomez,RepJimmyGomez,D,2371339658
member,Jimmy Panetta,RepJimmyPanetta,D,796736612554117120
member,John Garamendi,RepGaramendi,D,88806753
member,Josh Harder,RepJoshHarder,D,1080851152151953410
member,Juan Vargas,RepJuanVargas,D,1260172386
member,Judy Chu,RepJudyChu,D,193732179
member,Julia Brownley,RepBrownley,D,1243902714
member,Karen Bass,RepKarenBass,D,239949176
member,Katie Porter,RepKatiePorter,D,1081222837459996672
member,Ken Calvert,KenCalvert,R,22545491
member,Kevin McCarthy,GOPLeader,R,19739126
member,Linda Sanchez,RepLindaSanchez,D,312134473
member,Lou Correa,RepLouCorrea,D,815985039485837312
member,Lucille Roybal-Allard,RepRoybalAllard,D,479872233
member,Mark DeSaulnier,RepDeSaulnier,D,2968007206
member,Mark Takano,RepMarkTakano,D,1037321378
member,Maxine Waters,RepMaxineWaters,D,36686040
member,Mike Garcia,repmikegarcia,R,1262531473057423361
member,Mike Levin,RepMikeLevin,D,1072134139560620033
member,Mike Thompson,RepThompson,D,303861808
member,Nancy Pelosi,SpeakerPelosi,D,15764644
member,Nanette Barragan,RepBarragan,D,816833925456789505
member,Norma Torres,NormaJTorres,D,236279233
member,Pete Aguilar,RepPeteAguilar,D,3018670151
member,Raul Ruiz,RepRaulRuizMD,D,1089859058
member,Ro Khanna,RepRoKhanna,D,816298918468259841
member,Salud Carbajal,RepCarbajal,D,816157667882373120
member,Scott Peters,RepScottPeters,D,1135486501
member,Susan Davis,RepSusanDavis,D,432771620
member,TJ Cox,RepTjCox,D,1080875913926139910
member,Ted Lieu,RepTedLieu,D,3044993235
member,Tom McClintock,RepMcClintock,R,50152441
member,Tony Cardenas,RepCardenas,D,1222257180
member,Zoe Lofgren,RepZoeLofgren,D,267938462
member,Diana DeGette,RepDianaDeGette,D,28599820
member,Doug Lamborn,RepDLamborn,R,584012853
member,Ed Perlmutter,RepPerlmutter,D,20552026
member,Jason Crow,RepJasonCrow,D,1080191866509901826
member,Joe Neguse,RepJoeNeguse,D,1078749802765139968
member,Ken Buck,RepKenBuck,R,2862577383
member,Scott Tipton,RepTipton,R,242873057
member,Jahana Hayes,RepJahanaHayes,D,1082086081238102018
member,Jim Himes,jahimes,D,31611298
member,Joe Courtney,RepJoeCourtney,D,85396297
member,John B. Larson,RepJohnLarson,D,50452197
member,Rosa DeLauro,rosadelauro,D,140519774
member,Eleanor Holmes Norton,EleanorNorton,D,23600262
member,Lisa Blunt Rochester,RepLBR,D,817050219007328258
member,Al Lawson,RepAlLawsonJr,D,818472418620608512
member,Alcee Hastings,RepHastingsFL,D,2433737761
member,Bill Posey,congbillposey,R,25086658
member,Brian Mast,RepBrianMast,R,814103950404239360
member,Charlie Crist,RepCharlieCrist,D,816030424778543104
member,Daniel Webster,RepWebster,R,281540744
member,Darren Soto,RepDarrenSoto,D,818713465653051392
member,Debbie Mucarsel-Powell,RepDMP,D,1080941062028447744
member,Debbie Wasserman Schultz,RepDWStweets,D,1140648348
member,Donna Shalala,RepShalala,D,1060584809095925762
member,Francis Rooney,RepRooney,R,816111677917851649
member,Frederica Wilson,RepWilson,D,234014087
member,Greg Steube,RepGregSteube,R,1083125649609506816
member,Gus Bilirakis,RepGusBilirakis,R,26051676
member,John Rutherford,RepRutherfordFL,R,828977216595849216
member,Kathy Castor,USRepKCastor,D,1880674038
member,Lois Frankel,RepLoisFrankel,D,1077121945
