description,profile_image_url,id,name,screen_name,location,party
United States Senator for California,http://pbs.twimg.com/profile_images/974690906669572098/Y6w06trG_normal.jpg,803694179079458816,Kamala Harris,SenKamalaHarris,,democrat
"Patriotic American & proud immigrant. @Springsteen fan. Banned by Putin, fired by Trump. Former US Atty, SDNY. Host of ""Stay Tuned"" https://t.co/jtj1L5lfFp",http://pbs.twimg.com/profile_images/1294804118767312898/xe4AmzUL_normal.jpg,834081571493785600,Preet Bharara,PreetBharara,"New York, NY",democrat
The official account of the Texas Democratic Party. #MyTexasVotes,http://pbs.twimg.com/profile_images/1013850694367916032/iWn_LbJA_normal.jpg,68219213,Texas Democrats,texasdemocrats,Texas,democrat
,http://pbs.twimg.com/profile_images/1177725147878477825/Znz9ndSl_normal.jpg,342863309,Beto O'Rourke,BetoORourke,"El Paso, TX",democrat
"US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.",http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg,138203134,Alexandria Ocasio-Cortez,AOC,"Bronx + Queens, NYC",democrat
Representing California's 28th Congressional District. Chairman of the House Intelligence Committee (@HouseIntel).,http://pbs.twimg.com/profile_images/1268175179626303497/-DNpPNUm_normal.jpg,29501253,Adam Schiff,RepAdamSchiff,"Burbank, CA",democrat
"Biden Harris 2020 |Research in Economic Mobility, Inequality &Mathematical Economics #Econtwitter",http://pbs.twimg.com/profile_images/1186509186252726272/6CN3i-M9_normal.jpg,1128409690902343680,Portia Antonia Alexis,PortiaEconomics,London School of Economics,democrat
"Actor, Director, Producer, Writer 🎬 - I like to create things. INSTAGRAM: @KatieCassidy",http://pbs.twimg.com/profile_images/1143667099883016192/wyD8bk3x_normal.png,74169715,Katie Cassidy,MzKatieCassidy,"Los Angeles, CA ",democrat
Lifelong educator. Military mother. Grandmother. Sister. Wife to @JoeBiden.,http://pbs.twimg.com/profile_images/1334146854414667777/P1NgFO9L_normal.jpg,821784477076750338,Dr. Jill Biden,DrBiden,,democrat
Press Secretary for @KamalaHarris. Former @MikeBloomberg and @CoryBooker. Dog mom. Anything and all things dark chocolate.,http://pbs.twimg.com/profile_images/1222134872782725120/1Ji1t4HK_normal.jpg,880404086,Sabrina Singh,sabrinasingh24,"Washington, DC",democrat
"dad, @kamalaharris hubby, lawyer, wannabe golfer, advocate for justice and equality.",http://pbs.twimg.com/profile_images/1294314759500828672/YZGF6hhA_normal.jpg,260759782,Doug Emhoff,DouglasEmhoff,,democrat
We’re building a grassroots campaign to elect @JoeBiden to be the 46th President. Account managed by #TeamJoe staff. Text JOE to 30330 to join our campaign.,http://pbs.twimg.com/profile_images/1321646730203426816/cN2SiF4N_normal.jpg,1129095209772552192,Team Joe (Text JOE to 30330),TeamJoe,"Philadelphia, PA",democrat
"@Transition46 Spokesperson for Jill Biden. Previously: @DrBiden Spox & Traveling Press Sec., @HouseDPCC, @SenatorCantwell, @Hardball, @BIGEAST🏊‍♂️@SHUSwimDive",http://pbs.twimg.com/profile_images/1241171840380305409/cO3BFVuV_normal.jpg,269314519,Michael LaRosa,MichaelLaRosaDC,,democrat
"We have to choose hope over fear, unity over division – and most important, truth over lies. - Joe Biden
Account ran by supporters of Biden
#OhioForBiden2020",http://pbs.twimg.com/profile_images/1123066041381392389/kliDgTuT_normal.jpg,1121369559078965250,Ohio For Biden 2020,BidenOhio,,democrat
"U.S. Senator, Massachusetts. She/her/hers. Official Senate account.",http://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg,970207298,Elizabeth Warren,SenWarren,,democrat
"U.S. Senator, former teacher. Wife, mom (Amelia, Alex, Bailey, @CFPB), grandmother, and Okie. She/her. Official campaign account.",http://pbs.twimg.com/profile_images/1296929570231390209/hNsDkcQg_normal.jpg,357606935,Elizabeth Warren,ewarren,Massachusetts,democrat
Editor at large @thedailybeast. podcasting “The New Abnormal” & Wife of @Mattgreenfield & mother of @woketeenageson,http://pbs.twimg.com/profile_images/1221616560252559360/d29_Rmsb_normal.jpg,14298769,Molly Jong-Fast🏡,MollyJongFast,,democrat
"Blocked by @realDonaldTrump. Since 2006, 700K veterans, military families, & supporters have been electing Veterans to office & fighting for progressive values.",http://pbs.twimg.com/profile_images/750693893637746688/5OJ82RsQ_normal.jpg,16513335,VoteVets (Text VOTEVETS to 88424),votevets,United States,democrat
"Attorney General of California. I've sued @realDonaldTrump 100+ times to defend our families, resources & values. This is my political account. #ProtectOurCare",http://pbs.twimg.com/profile_images/2172718354/71796_126698767383627_126694924050678_136739_4893093_n_normal.jpeg,565469671,Xavier Becerra,XavierBecerra,"Sacramento, CA",democrat
"We did it! We believe when women show up, we win. Helped President-Elect @JoeBiden and Vice President-Elect @KamalaHarris win in 2020. #BidenHarris2020",http://pbs.twimg.com/profile_images/1307298410924519431/wbJWBdxb_normal.jpg,1253121466918408192,WomenForBidenHarris,Women4Biden,The White House,democrat
