description,profile_image_url,id,name,screen_name,location,party
"Melting #SnowFlakes with the fire of Patriotism. Destroying Liberals Daily 
One of the most Targeted accounts on Twitter. III% Patriots #WhyLiberalsSuck",http://pbs.twimg.com/profile_images/990351165559902208/OzC0iV7A_normal.jpg,3389073989,GodGuns&Trump 🇺🇸,PatriotByGod,"Las Vegas, NV",republican
"100%Trump Supporter, I Follow Back #MAGA #Christian,#CCOT #BuildtheWall,   Love Jesus Christ, my Family, my Country and love our President Donald Trump! #WWG1WG",http://pbs.twimg.com/profile_images/1125263585494454277/e7WKopsb_normal.png,1005373425819553792,#Veteran #AmericaFirst #MAGA #Trump2020,donaldjrtrain,"Indiana, USA",republican
intelligent women vote for @realdonaldtrump ••••• @trumpstudents •••• ⇣ check out the link below ⇣,http://pbs.twimg.com/profile_images/1324136700076040193/2hQrzV0L_normal.jpg,1318619325402591232,TRUMP 2020,baddiesfortrump,,republican
"Wife to my soul mate,  Mom, Craft beer, Great danes, Sarcasm, Co Av's. #Wyomingproud,  Sm biz owner, USA🇺🇸🇺🇸 #FREEDOM #NRA",http://pbs.twimg.com/profile_images/1331323758007644160/_ssHcFDO_normal.jpg,985728510,Metal Ivy,Metalivy74,Wyoming/Colorado,republican
"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",http://pbs.twimg.com/profile_images/1330368465740423168/8TcYECAu_normal.jpg,601535938,Matt Couch,RealMattCouch,"NW Arkansas, USA",republican
Fox Nation Host. Faith. Family. Freedom. Final Thoughts. https://t.co/1pXmBlysWg,http://pbs.twimg.com/profile_images/1174073050666393600/hbtxan7s_normal.jpg,468646961,Tomi Lahren,TomiLahren,"Nashville, TN",republican
The official Twitter account of the Republican Party of Arizona.,http://pbs.twimg.com/profile_images/1215061301468135424/24fi8iw3_normal.jpg,15937190,Arizona Republican Party,AZGOP,"Phoenix, AZ",republican
"TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements! Due to hackings, no DM’s!",http://pbs.twimg.com/profile_images/1298273293061853188/5SVIYpyY_normal.jpg,41634520,Sean Hannity,seanhannity,NYC,republican
"Lou Dobbs Tonight, Fox Business Network, 5, 7 & 10 PM/ET",http://pbs.twimg.com/profile_images/1291061804982992896/FmNLrPOG_normal.jpg,26487169,Lou Dobbs,LouDobbs,"New York, NY",republican
Proudly serving Ohio's beautiful Fourth District. Ranking Member on @JudiciaryGOP. Fighting to #DoWhatWeSaid,http://pbs.twimg.com/profile_images/596012379231617025/TtrAXbnA_normal.jpg,18166778,Rep. Jim Jordan,Jim_Jordan,"Washington, D.C. ",republican
