,clean_text,label
0,Huh I was raised in a preachers home Ive never heard of souls day did you make that up Donald like youre man of the year award that never existed in this state your funny dude lol,Democrat
1, The Trumpists dont want you to ask questions about this BS story about an obscure computer repair shop where Hunter Biden,Democrat
2, Trump said he wouldnt cut Medicaid Social Security and Medicare His budget cuts all ,Democrat
3, They were inches from the Biden bumper sticker several times so I sped up pulled over and took these I then pulled up next to,Democrat
4,Conservatives are playing the long game that looks beyond elections Its why McConnell has been busy denying s judicial nomineesfasttracking even unqualified YOUNG crazy right wing zealots nominated by Trump This election means nothing  theyve already won,Democrat
5, Joe Biden is Bernie Sanders in sheeps clothing Compared to the Democrats grim vision of America President Trump is the,Republican
6,IM a great Italian Your version of historical fact is as flawed as any of your versions of fact not to mention what happened to our indigenous people I wouldnt call that humanity Id call that genocide something Im sure youre familiar with Nazi,Democrat
7,REAL SAD,Republican
8,A trump is a trump is a trump is a trump different gradations of evil is the most positive thing we can say about the lot,Democrat
9, For the fourth time in three months a proTrump ad uses footage from Russia This is due either to incompetence or collusion,Democrat
10, Truly radical Biden says he wants to go well beyond packing the Supreme Court Our constitutional rights hang in the bala,Republican
11,,Republican
12,Trump cant undo his uncaring amp inept COVID inaction that destroyed MANY families livelihood 20M jobs lost amp enabled K COVID dead many unnecessary destroying many relativesfriends livesFour more years of Trump chaos is far too dangerous for our loved ones amp,Democrat
13,From ,Republican
14, NBC News contributor Hugh Hewitt asks the White House to appoint a special counsel to investigate Joe Biden,Republican
15, NEW VIDEO This is my second to last video before signing offThis video exposes the Trum,Republican
16, If I do not sound like a typical Washington politician its because Im NOT a politician If I do not always play by,Democrat
17,how come on the news tonight ABC does not bring up the Bidens and there china e mails on corruption,Republican
18,Glad to see Mehdi not rehabilitating Bolton Trump is horrible The Iraq war was criminal Thats it Not mutually exclusive,Democrat
19,Most neonazis who run for political office in the US run as Republicans and on rightwing ideas Several of them Arthur Jones  Illinois and David Duke  Louisiana endorsed and voted for Trump You are overreacting to the word socialist in their name,Democrat
20, Its only October and feels like the longest most brutal year in memory writes President Trump,Democrat
21, The enthusiasm gap for Trump was single digits in  its upward of points in ,Democrat
22, Navy SEAL who killed bin Laden slams Donald Trump for trampling on the graves of some of the best heroes after Trump,Republican
23, To all those suffering To all those who have lost loved ones To everyone who lost their job To all the states with hosp,Democrat
24, Trump is a Russian asset a mob money launderer installed by his mob whoremasters to sow chaos and weaken the US amp our allie,Democrat
25,Obvious lie Sir,Republican
26, Hillary wants to serve in the BidenHarris administrationRT if she should be serving to life instead,Democrat
27,FUN WATCHSee Sarah Huckabee Sanders Get Annihilated by Australian News Anchor Leigh Sales for Supporting Trumps Lies,Republican
28, Mark Meadows defends holding large Trump rallies during the pandemic and not requiring attendees to wear masks We live in a f,Democrat
29,Sacha Baron Cohen offers Trump a job,Democrat
30, Joe Biden confuses Philadelphia Eagles logo with his college emblem,Republican
31,Thats like a message from a record played backward Hidden BS,Democrat
32, I felt torn after the meeting worried about not being a loyal person as Trump demands loyalty as a means of maintaining co,Democrat
33,The desperation of this loser reaches new heights with every passing hour as we rotate closer and closer to Nov  And Im just,Democrat
34, Twitter is letting trend despite there being no Ukraine Scandal that involves Eric TrumpIt,Democrat
35, We need to know pronto who has this leverage on the President of the United StatesHow are we to trust that the man who,Democrat
